"Region","Service","pubDate","TimeZone","TimeZoneOffset","PubDateConverted","StartTimeConverted","EndTimeConverted","IncidentMinutes","description"
"us-west-2","emr","Sat,  7 Apr 2012 17:03:52 PDT","PDT","-7","08/04/2012 01:03:52",,,,"We are currently experiencing increased latencies launching job flows in the US-WEST-2 Region. Running Job Flows are not effected and operating normally. We are working to resolve the underlying issue, and we expect to be recovered shortly. "
"us-west-2","vpc","Sat,  7 Apr 2012 17:33:55 PDT","PDT","-7","08/04/2012 01:33:55","07/04/2012 22:48:00","08/04/2012 01:01:00","133","Between 2:48 PM and 5:01 PM PDT the EC2 APIs experienced increased error rates. No running instances were affected. The issue has been resolved and the service is operating normally."
"us-west-2","emr","Sat,  7 Apr 2012 17:34:30 PDT","PDT","-7","08/04/2012 01:34:30",,,,"The issue has been resolved and the service is operating normally."
"eu-west-1","rds","Tue, 10 Apr 2012 02:05:00 PDT","PDT","-7","10/04/2012 10:05:00",,,,"We are investigating increased API error rates in the EU-WEST-1 region."
"eu-west-1","rds","Tue, 10 Apr 2012 02:38:59 PDT","PDT","-7","10/04/2012 10:38:59",,,,"The issue has been resolved and the service is operating normally."
"us-west-1","vpc","Sat, 14 Apr 2012 02:31:00 PDT","PDT","-7","14/04/2012 10:31:00",,,,"We are investigating increased error rates and latencies in the US-WEST-1 Region."
"us-west-1","vpc","Sat, 14 Apr 2012 02:41:00 PDT","PDT","-7","14/04/2012 10:41:00","14/04/2012 09:36:00","14/04/2012 10:15:00","39","Between 1:36 AM and 2:15 AM PDT the EC2 APIs experienced increased error rates and latencies in the US-WEST-1 Region. Running instances were not affected. The issue has been resolved and the service is operating normally."
"ap-southeast-1","s3","Tue, 17 Apr 2012 09:02:00 PDT","PDT","-7","17/04/2012 17:02:00",,,,"We are currently investigating an increase in error rates for GET and PUT operations in the AP-Southeast-1 region."
"ap-southeast-1","s3","Tue, 17 Apr 2012 10:24:54 PDT","PDT","-7","17/04/2012 18:24:54","17/04/2012 15:59:00","17/04/2012 17:20:00","81","There were increased errors for GET and PUT requests from 7:59 AM PDT to 9:20 AM PDT in the AP-Southeast-1 region.  The issue has been resolved and the service is operating normally."
"eu-west-1","elasticache","Mon, 23 Apr 2012 10:18:00 PDT","PDT","-7","23/04/2012 18:18:00",,,,"We are currently experiencing increased error rates for ElastiCache APIs in the EU-WEST-1 Region. Requests to create and manage Cache Clusters and Cache Nodes may fail. We are working to resolve the issue. "
"eu-west-1","rds","Mon, 23 Apr 2012 10:31:55 PDT","PDT","-7","23/04/2012 18:31:55",,,,"We are currently experiencing increased error rates for RDS APIs in the EU-WEST-1 Region. Requests to create and modify RDS database instances may fail. We are working to resolve the issue."
"eu-west-1","elasticache","Mon, 23 Apr 2012 10:56:26 PDT","PDT","-7","23/04/2012 18:56:26",,,,"Between 10:14 and 10:49 AM PDT, we experienced increased error rates for ElastiCache APIs in the EU-WEST-1 Region. The issue has been resolved and the service is operating normally."
"eu-west-1","rds","Mon, 23 Apr 2012 11:01:47 PDT","PDT","-7","23/04/2012 19:01:47",,,,"Between 10:14 and 10:49 AM PDT, we experienced increased error rates for RDS APIs in the EU-WEST-1 Region. The issue has been resolved and the service is operating normally."
"ap-northeast-1","rds","Wed, 25 Apr 2012 21:30:10 PDT","PDT","-7","26/04/2012 05:30:10",,,,"We are currently investigating connectivity issues to a small number of RDS database instances in a single Availability Zone in the AP-NORTHEAST-1 Region."
"ap-northeast-1","rds","Wed, 25 Apr 2012 22:26:52 PDT","PDT","-7","26/04/2012 06:26:52",,,,"From 7:50pm to 9:40pm PDT, DNS requests for a small set of RDS DB Instance endpoints in a single Availability Zone in the AP-NORTHEAST-1 Region were failing intermittently. The issue has been resolved and the service is operating 
normally."
"sa-east-1","s3","Sat, 28 Apr 2012 11:04:00 PDT","PDT","-7","28/04/2012 19:04:00",,,,"We are investigating increased error rates for Amazon S3 in the SA-EAST-1 region."
"sa-east-1","cloudwatch","Sat, 28 Apr 2012 11:17:00 PDT","PDT","-7","28/04/2012 19:17:00",,,,"We are investigating delays in CloudWatch metrics in the SA-EAST-1 region."
"sa-east-1","s3","Sat, 28 Apr 2012 11:25:00 PDT","PDT","-7","28/04/2012 19:25:00",,,," From 10:45AM PDT to 10:46AM PDT S3 had experienced increased error rates in the SA-EAST-1 region. The service has recovered and is operating normally."
"sa-east-1","cloudwatch","Sat, 28 Apr 2012 11:41:28 PDT","PDT","-7","28/04/2012 19:41:28",,,,"Between 10:43 PDT and 10:55 PDT, we experienced metric delays in the SA-East-1 region. During this time, CloudWatch alarms set on delayed metrics may have transitioned into the Insufficient Data state. The service has recovered and is operating normally. "
"ap-northeast-1","sqs","Mon, 30 Apr 2012 17:37:44 PDT","PDT","-7","01/05/2012 01:37:44",,,,"We are investigating elevated error rates for API calls in the AP-NORTHEAST-1 region."
"ap-northeast-1","sqs","Mon, 30 Apr 2012 17:50:51 PDT","PDT","-7","01/05/2012 01:50:51",,,,"The service has recovered as of 5:40 PM PDT. Error rates have returned to normal levels."
"eu-west-1","s3","Wed,  9 May 2012 12:16:00 PDT","PDT","-7","09/05/2012 20:16:00",,,,"We are investigating increased error rates for Amazon S3 in the EU-West-1 region."
"eu-west-1","s3","Wed,  9 May 2012 12:37:00 PDT","PDT","-7","09/05/2012 20:37:00",,,,"Customers with buckets the EU-West-1 region with bucket names that start with ""village"" or ""pz"" are experiencing increased error rates.  All other buckets are operating normally."
"eu-west-1","s3","Wed,  9 May 2012 12:54:00 PDT","PDT","-7","09/05/2012 20:54:00",,,,"From 11:25AM PDT to 12:40AM PDT customers with buckets in the EU-West-1 region with bucket names beginning with ""pz"" or ""village"" experienced increased error rates.  The issue has been resolved and the service is operating normally."
"ap-northeast-1","emr","Wed,  9 May 2012 14:59:00 PDT","PDT","-7","09/05/2012 22:59:00",,,,"We are experiencing higher than usual error rates and are investigating."
"ap-northeast-1","emr","Wed,  9 May 2012 15:34:39 PDT","PDT","-7","09/05/2012 23:34:39",,,,"From 02:30PM PDT to 02:50PM PDT customers making API calls to Amazon Elastic MapReduce experienced increased error rates. The issue has been resolved and the service is operating normally."
"ap-northeast-1","ec2","Fri, 25 May 2012 16:38:27 PDT","PDT","-7","26/05/2012 00:38:27",,,,"ELB provisioning times have returned to normal.  There were no issues with EC2 instances or running ELB load balancers.  The issues in provisioning new load balances were due to an issue with updating DNS entries in Route 53.  For more information on this issue, please refer to the Route 53 dashboard."
"ap-northeast-1","elasticache","Wed, 30 May 2012 16:51:19 PDT","PDT","-7","31/05/2012 00:51:19",,,,"We are currently experiencing increased error rates for ElastiCache APIs in the AP-NORTHEAST-1 Region. Requests to create and manage Cache Clusters and Cache Nodes may fail. We are working to resolve the issue."
"ap-northeast-1","elasticache","Wed, 30 May 2012 17:16:28 PDT","PDT","-7","31/05/2012 01:16:28","31/05/2012 00:46:00","31/05/2012 01:10:00","24","Between 4:46 PM and 5:10 PM PDT, we experienced increased error rates for ElastiCache APIs in the AP-NORTHEAST-1 Region. The issue has been resolved and the service is operating normally."
"ap-southeast-1","rds","Wed,  6 Jun 2012 15:19:44 PDT","PDT","-7","06/06/2012 23:19:44",,,,"We are investigating increased API error rates in the AP-SOUTHEAST-1 region."
"us-west-2","rds","Wed,  6 Jun 2012 15:23:45 PDT","PDT","-7","06/06/2012 23:23:45",,,,"We are investigating increased API error rates in the US-WEST-2 region."
"ap-southeast-1","rds","Wed,  6 Jun 2012 16:08:50 PDT","PDT","-7","07/06/2012 00:08:50",,,,"The RDS service was, and is operating normally. Our investigation has shown that the errors detected were false positives that did not affect the operation of the service."
"us-west-2","rds","Wed,  6 Jun 2012 16:10:35 PDT","PDT","-7","07/06/2012 00:10:35",,,,"The RDS service was, and is operating normally. Our investigation has shown that the errors detected were false positives that did not affect the operation of the service."
"us-west-1","elasticache","Thu,  7 Jun 2012 11:14:16 PDT","PDT","-7","07/06/2012 19:14:16",,,,"We are currently experiencing increased error rates for ElastiCache APIs in the US-WEST-1 Region. Requests to create and manage Cache Clusters and Cache Nodes may fail. We are working to resolve the issue."
"us-west-1","elasticache","Thu,  7 Jun 2012 11:31:19 PDT","PDT","-7","07/06/2012 19:31:19","07/06/2012 19:00:00","07/06/2012 19:10:00","10","Between 11:00 AM and 11:10 AM PDT, we experienced increased error rates for ElastiCache APIs in the US-WEST-1 Region. The issue is resolved and the service is operating normally."
"ap-northeast-1","emr","Wed, 13 Jun 2012 17:09:06 PDT","PDT","-7","14/06/2012 01:09:06",,,,"We are experiencing high than usual error rates and are investigating."
"ap-northeast-1","emr","Wed, 13 Jun 2012 17:50:04 PDT","PDT","-7","14/06/2012 01:50:04",,,,"From 04:45PM PDT to 04:55PM PDT customers making API calls to Amazon Elastic MapReduce experienced increased error rates. The issue has been resolved and the service is operating normally."
"us-west-2","rds","Thu, 14 Jun 2012 05:16:57 PDT","PDT","-7","14/06/2012 13:16:57",,,,"We are investigating connectivity issues for a small number of RDS database instances in a single Availability Zone in the US-WEST-2 region."
"us-west-2","rds","Thu, 14 Jun 2012 05:45:30 PDT","PDT","-7","14/06/2012 13:45:30",,,,"RDS Service is now operating normally."
"eu-west-1","rds","Sat, 30 Jun 2012 07:30:44 PDT","PDT","-7","30/06/2012 15:30:44",,,,"We are investigating connectivity issues for a small number of RDS database instances in a single Availability Zone in the EU-WEST-1 region. "
"eu-west-1","rds","Sat, 30 Jun 2012 08:13:52 PDT","PDT","-7","30/06/2012 16:13:52",,,,"Between 7:02AM PDT and 7:32AM PDT, customers may have experienced connectivity issues to a small number of RDS database instances in a single AZ in EU-WEST-1. The issue has been resolved and the service is operating normally."
"ap-southeast-1","s3","Sun,  1 Jul 2012 01:56:27 PDT","PDT","-7","01/07/2012 09:56:27",,,,"We experienced increased error rates in the Singapore region from 01:08 AM to 01:26AM PDT.
The service is now operating normally.
"
"ap-southeast-1","s3","Sun,  1 Jul 2012 02:36:11 PDT","PDT","-7","01/07/2012 10:36:11",,,,"We experienced increased error rates in the Singapore region from 01:08 AM to 01:26AM PDT.
The service is now operating normally."
"ap-northeast-1","emr","Tue,  3 Jul 2012 16:59:00 PDT","PDT","-7","04/07/2012 00:59:00",,,,"We are experiencing high than usual error rates and are investigating."
"ap-northeast-1","emr","Tue,  3 Jul 2012 17:10:00 PDT","PDT","-7","04/07/2012 01:10:00",,,,"From 04:59PM PDT to 05:03PM PDT customers making API calls to Amazon Elastic MapReduce experienced increased error rates. The issue has been resolved and the service is operating normally."
"us-west-1","elasticache","Mon, 16 Jul 2012 07:02:24 PDT","PDT","-7","16/07/2012 15:02:24",,,,"We are investigating elevated API error rates in the US-WEST-1 region."
"us-west-1","elasticache","Mon, 16 Jul 2012 07:13:22 PDT","PDT","-7","16/07/2012 15:13:22","16/07/2012 14:00:00","16/07/2012 14:53:00","53","Between 6:00 AM and 6:53 AM PDT ElastiCache experienced elevated API error rates in the US-WEST-1 region. The issue has been resolved and the service is currently operating normally."
"us-west-1","cloudwatch","Mon, 16 Jul 2012 07:20:34 PDT","PDT","-7","16/07/2012 15:20:34",,,,"We are investigating increased error rates and latencies for CloudWatch APIs and metrics in the US-WEST-1 region. CloudWatch Alarms may be transitioning into ""INSUFFICIENT DATA"" state if set on delayed metrics."
"us-west-1","cloudwatch","Mon, 16 Jul 2012 07:29:34 PDT","PDT","-7","16/07/2012 15:29:34","16/07/2012 14:00:00","16/07/2012 14:53:00","53","Between 6:00 AM and 6:53 AM PDT CloudWatch experienced elevated API error rates in the US-WEST-1 region. The issue has been resolved. CloudWatch metrics and alarms services are currently operating normally. "
"us-west-2","cloudwatch","Tue, 24 Jul 2012 03:03:40 PDT","PDT","-7","24/07/2012 11:03:40",,,,"We are investigating increased error rates and latencies for CloudWatch APIs and metrics in the US-WEST-2 region. CloudWatch Alarms may be transitioning into ""INSUFFICIENT DATA"" state if set on delayed metrics."
"us-west-2","cloudwatch","Tue, 24 Jul 2012 03:22:53 PDT","PDT","-7","24/07/2012 11:22:53",,,,"From 2:31 PDT to 2:51 PDT CloudWatch metrics were delayed in the US-WEST-2 region. The service has fully recovered now and is operating normally. "
"us-west-2","cloudwatch","Wed, 25 Jul 2012 06:29:16 PDT","PDT","-7","25/07/2012 14:29:16","25/07/2012 12:42:00","25/07/2012 13:53:00","71","Between 4:42 AM PDT and 5:53 AM PDT, CloudWatch alarms experienced elevated fault rates. During this time, only CloudWatch alarms were affected. CloudWatch metrics were operating normally. The issue has been resolved. The CloudWatch alarms service is operating normally."
"ap-northeast-1","rds","Mon,  6 Aug 2012 07:41:00 PDT","PDT","-7","06/08/2012 15:41:00",,,,"
We are currently investigating elevated API error rates in the AP-NORTHEAST-1 region. 
"
"ap-northeast-1","rds","Mon,  6 Aug 2012 07:56:49 PDT","PDT","-7","06/08/2012 15:56:49",,,,"From 07:05 PDT to 07:42 PDT, Amazon RDS experienced elevated API error rates in the AP-NORTHEAST-1 region. Connectivity and database operations were not affected. The issue has been resolved and the service is operating normally."
"ap-northeast-1","s3","Sat, 11 Aug 2012 15:29:02 PDT","PDT","-7","11/08/2012 23:29:02",,,,"Requests to ""List All My Buckets"" against the s3-ap-northeast-1.amazonaws.com endpoint are currently receiving partial results.  Other requests are operating normally and ""List All My Buckets"" can be executed against other region endpoints for a full list of an account's buckets in all regions."
"ap-northeast-1","s3","Sat, 11 Aug 2012 18:54:26 PDT","PDT","-7","12/08/2012 02:54:26",,,,"""List All My Buckets"" requests against the s3-ap-northeast-1.amazonaws.com endpoint are now operating normally."
"us-east-1","cloudformation","Thu, 16 Aug 2012 00:26:00 PDT","PDT","-7","16/08/2012 08:26:00",,,,"We are currently investigating increased latencies for creating and deleting stacks in the US-EAST-1 region."
"us-east-1","cloudformation","Thu, 16 Aug 2012 00:46:00 PDT","PDT","-7","16/08/2012 08:46:00","17/08/2012 07:10:00","16/08/2012 08:33:00","-1357","Between August 15 at 11:10 PM PDT and August 16 at 12:33 AM PDT, CloudFormation experienced delays in creating and deleting stacks in US-EAST-1. The service is now operating normally."
"eu-west-1","elasticbeanstalk","Wed, 22 Aug 2012 16:50:16 PDT","PDT","-7","23/08/2012 00:50:16",,,,"We are currently experiencing delays creating environments in the EU-West-1 region."
"eu-west-1","elasticbeanstalk","Wed, 22 Aug 2012 17:29:05 PDT","PDT","-7","23/08/2012 01:29:05",,,,"We are continuing to investigate delays in creating and rebuilding environments."
"eu-west-1","elasticbeanstalk","Wed, 22 Aug 2012 18:37:43 PDT","PDT","-7","23/08/2012 02:37:43",,,,"Environment creations and rebuilds continue to be delayed, we are working on the issue."
"eu-west-1","elasticbeanstalk","Wed, 22 Aug 2012 19:12:06 PDT","PDT","-7","23/08/2012 03:12:06","22/08/2012 23:40:00","23/08/2012 02:55:00","195","Between 3:40 PM PDT and 6:55 PM PDT, Elastic Beanstalk experienced delays creating and rebuilding environments in the EU-WEST-1 region. The issue is resolved and the service is operating normally."
"us-east-1","dynamodb","Wed, 29 Aug 2012 14:54:00 PDT","PDT","-7","29/08/2012 22:54:00",,,,"We are investigating increased error rates for API calls made to DynamoDB in US-East-1."
"us-east-1","swf","Wed, 29 Aug 2012 15:21:20 PDT","PDT","-7","29/08/2012 23:21:20",,,,"We are investigating latencies in workflows in the US-EAST-1 region."
"us-east-1","dynamodb","Wed, 29 Aug 2012 15:37:05 PDT","PDT","-7","29/08/2012 23:37:05","29/08/2012 22:35:00","29/08/2012 23:05:00","30","Between 2:35 PM PDT to 3:05 PM PDT in US-EAST-1, DynamoDB experienced elevated error rates for some API calls. The service is now operating normally."
"us-east-1","swf","Wed, 29 Aug 2012 15:38:05 PDT","PDT","-7","29/08/2012 23:38:05","29/08/2012 22:35:00","29/08/2012 23:05:00","30","Between 2:35 PM PDT and 3:05 PM PDT, some workflows experienced latencies and elevated error rates in US-EAST-1. The service has recovered and is operating normally."
"us-east-1","cloudformation","Sun,  2 Sep 2012 08:03:29 PDT","PDT","-7","02/09/2012 16:03:29",,,,"We are currently investigating increased error rates in the US-EAST-1 region"
"us-east-1","cloudformation","Sun,  2 Sep 2012 08:41:10 PDT","PDT","-7","02/09/2012 16:41:10","02/09/2012 15:20:00","02/09/2012 15:55:00","35","Between 7:20 AM and 7:55 AM PDT, we experienced elevated error rates for all API calls in US-EAST-1. The service is operating normally now."
"eu-west-1","sqs","Wed,  5 Sep 2012 19:00:00 PDT","PDT","-7","06/09/2012 03:00:00",,,,"We are investigating elevated error rates for API calls in the EU-WEST-1 region."
"eu-west-1","sqs","Wed,  5 Sep 2012 19:56:00 PDT","PDT","-7","06/09/2012 03:56:00",,,,"We can confirm that error rates have dropped significantly and are actively working on resolving the issue"
"eu-west-1","sqs","Wed,  5 Sep 2012 20:04:00 PDT","PDT","-7","06/09/2012 04:04:00","06/09/2012 02:40:00","06/09/2012 03:05:00","25","Between 6:40 PM and 7:05 PM PDT SQS experienced elevated error rates in EU-WEST-1 region. The error rates have recovered and the service is now operating normally.
"
"ap-southeast-1","s3","Wed, 12 Sep 2012 00:22:07 PDT","PDT","-7","12/09/2012 08:22:07",,,,"Between 11:12PM PDT and 11:32PM PDT, customers experienced elevated error rates for REST.PUT.BUCKET requests in the Singapore Region. The service is now operating normally."
"us-east-1","vpc","Fri, 21 Sep 2012 16:25:27 PDT","PDT","-7","22/09/2012 00:25:27",,,,"We are currently investigating elevated API error rates for Virtual Private Cloud in the US-East-1 region."
"us-east-1","vpc","Fri, 21 Sep 2012 16:50:55 PDT","PDT","-7","22/09/2012 00:50:55","21/09/2012 23:13:00","22/09/2012 00:34:00","81","Between 3:13 PM and 4:34 PM PDT VPC experienced elevated API latencies and error rates in the US-EAST-1 region. The issue has been resolved and the service is currently operating normally."
,"s3-us-standard","Fri, 28 Sep 2012 11:58:14 PDT","PDT","-7","28/09/2012 19:58:14",,,,"From 8:54AM PDT to 11:24AM PDT S3 requests routed to the West Coast facilities in the US-Standard region experienced high error rates.  S3 requests routed to the East Coast facilities in the US Standard region were not impacted.  The issue is now resolved."
"ap-southeast-1","emr","Thu,  4 Oct 2012 10:44:00 PDT","PDT","-7","04/10/2012 18:44:00",,,,"We are experiencing higher than usual error rates in AP-SOUTHEAST-1 region and are investigating.
"
"ap-southeast-1","rds","Thu,  4 Oct 2012 11:20:00 PDT","PDT","-7","04/10/2012 19:20:00",,,,"We are currently investigating connectivity issues to a small subset of  RDS DB Instances in a Single Availability Zone in the AP-SOUTHEAST-1 Region."
"ap-southeast-1","emr","Thu,  4 Oct 2012 11:35:00 PDT","PDT","-7","04/10/2012 19:35:00",,,,"We saw elevated error rates in the AP-SOUTHEAST-1 region from 10:50 to 11:15 AM PDT. Error rates have recovered and the service is operating normally."
"ap-southeast-1","rds","Thu,  4 Oct 2012 12:21:13 PDT","PDT","-7","04/10/2012 20:21:13",,,,"We have resolved the connectivity issues we were investigating, and the service is now operating normally."
"ap-southeast-1","s3","Fri,  5 Oct 2012 11:29:56 PDT","PDT","-7","05/10/2012 19:29:56",,,,"From 6:13am PDT to 10:15am PDT customers in the Amazon S3 Singapore region experienced elevated error rates.  The service is now operating normally."
"us-east-1","sqs","Fri,  5 Oct 2012 16:29:35 PDT","PDT","-7","06/10/2012 00:29:35",,,,"We are investigating elevated error rates for API calls in the US-EAST-1 region."
"us-east-1","sqs","Fri,  5 Oct 2012 16:42:40 PDT","PDT","-7","06/10/2012 00:42:40","06/10/2012 00:05:00","06/10/2012 00:23:00","18","Between 04:05 PM and 04:23 PM PDT SQS APIs experienced elevated error rates in US-EAST-1 region. The service has recovered and error rates have returned to normal."
"eu-west-1","cloudwatch","Tue,  9 Oct 2012 12:51:00 PDT","PDT","-7","09/10/2012 20:51:00",,,,"We are investigating delays in CloudWatch alarms state changes in EU-WEST-1 region."
"eu-west-1","cloudwatch","Tue,  9 Oct 2012 13:43:18 PDT","PDT","-7","09/10/2012 21:43:18",,,,"We have identified the cause of the delays in CloudWatch alarm state changes. We are working to recover the service. CloudWatch metrics are operating normally. "
"eu-west-1","cloudwatch","Tue,  9 Oct 2012 13:53:07 PDT","PDT","-7","09/10/2012 21:53:07",,,,"Alarm state transitions are occurring without delays now. CloudWatch alarms and metrics are operating normally. "
"us-east-1","cloudformation","Tue,  9 Oct 2012 20:44:00 PDT","PDT","-7","10/10/2012 04:44:00",,,,"We are currently investigating increased API error rates in the US-East-1 region. "
"us-east-1","sns","Tue,  9 Oct 2012 21:22:00 PDT","PDT","-7","10/10/2012 05:22:00",,,,"We are investigating elevated errors."
"us-east-1","sns","Tue,  9 Oct 2012 22:15:00 PDT","PDT","-7","10/10/2012 06:15:00",,,,"We can confirm increased error rates in the US-EAST-1 region and continue to work towards resolution."
"us-east-1","cloudformation","Tue,  9 Oct 2012 22:18:00 PDT","PDT","-7","10/10/2012 06:18:00",,,,"We are continuing to see elevated API error rates and increased latency creating, deleting and updating stacks."
"us-east-1","storagegateway","Tue,  9 Oct 2012 22:38:01 PDT","PDT","-7","10/10/2012 06:38:01",,,,"API calls in the US-East region have a high error rate. Gateway uploads are not impacted. "
"us-east-1","sns","Tue,  9 Oct 2012 22:56:00 PDT","PDT","-7","10/10/2012 06:56:00",,,,"We continue to work towards resolution of increased API rates in US-EAST-1. 
"
"us-east-1","cloudformation","Wed, 10 Oct 2012 00:11:00 PDT","PDT","-7","10/10/2012 08:11:00",,,,"We have identified the issue and are working on restoring the service. We are continuing to experience elevated API error rates and increased stack create, update and terminate latencies. Existing CloudFormation stacks are not impacted"
"us-east-1","cloudformation","Wed, 10 Oct 2012 00:11:00 PDT","PDT","-7","10/10/2012 08:11:00",,,,"We have identified the issue and are working on restoring the service. We are continuing to experience elevated API error rates and increased stack create, update and terminate latencies. Existing CloudFormation stacks are not impacted"
"us-east-1","sns","Wed, 10 Oct 2012 00:14:00 PDT","PDT","-7","10/10/2012 08:14:00",,,,"We are continuing to experience elevated error rates for publish API calls as well as delays in notification in US-EAST-1.   We are actively working towards a resolution."
"us-east-1","sns","Wed, 10 Oct 2012 00:14:00 PDT","PDT","-7","10/10/2012 08:14:00",,,,"We are continuing to experience elevated error rates for publish API calls as well as delays in notification in US-EAST-1.   We are actively working towards a resolution."
"us-east-1","simpledb","Wed, 10 Oct 2012 00:21:00 PDT","PDT","-7","10/10/2012 08:21:00",,,,"We can confirm that error rates are continuing to drop. We are still working on the issue."
"us-east-1","sns","Wed, 10 Oct 2012 01:03:00 PDT","PDT","-7","10/10/2012 09:03:00",,,,"We have resolved the issue and the service is operating normally."
"us-east-1","sns","Wed, 10 Oct 2012 01:03:02 PDT","PDT","-7","10/10/2012 09:03:02",,,,"We have resolved the issue and the service is operating normally."
"us-east-1","simpledb","Wed, 10 Oct 2012 01:05:00 PDT","PDT","-7","10/10/2012 09:05:00",,,,"Error rates are continuing to drop and we are working to address the remaining set of domains that are still seeing some errors."
"us-east-1","simpledb","Wed, 10 Oct 2012 01:59:00 PDT","PDT","-7","10/10/2012 09:59:00",,,,"We can confirm that our error rates have dropped significantly. We are working to improve the performance of the remaining domains that still have elevated error rates."
"us-east-1","storagegateway","Wed, 10 Oct 2012 02:23:00 PDT","PDT","-7","10/10/2012 10:23:00",,,,"Error rates have been reduced, and we continue to work on completely resolving the issue."
"us-east-1","storagegateway","Wed, 10 Oct 2012 02:23:04 PDT","PDT","-7","10/10/2012 10:23:04",,,,"Error rates have been reduced, and we continue to work on completely resolving the issue."
"us-east-1","simpledb","Wed, 10 Oct 2012 02:46:00 PDT","PDT","-7","10/10/2012 10:46:00",,,,"The service is now operating normally."
